Item_Id,Date,State_of_Country,Market_Category,Product_Category,Grade,Demand,Low_Cap_Price,High_Cap_Price
IT_1,7/5/2007,0,0,0,0,0.5,2785,4240
IT_2,7/5/2007,0,1,0,0,0.7,3574,4756
IT_3,7/5/2007,0,103,0,1,1.6,5978,9669
IT_4,7/5/2007,0,103,0,0,0,5681,8313
IT_5,7/5/2007,0,103,0,2,0,4924,7257
IT_6,7/5/2007,0,164,0,0,0,2508,4792
IT_7,7/5/2007,0,235,0,2,1.3,2861,5334
IT_8,7/5/2007,0,301,1,0,0.5,2274,3802
IT_9,7/5/2007,0,367,0,0,1.7,2363,5265
IT_10,7/5/2007,0,436,0,0,0.3,1838,3534
IT_11,7/5/2007,0,450,0,0,0.5,2991,4981
IT_12,7/5/2007,0,461,1,0,0.8,2431,4083
IT_13,7/5/2007,11,2,0,1,9.8,5303,8508
IT_14,7/5/2007,17,13,0,3,0,332,2312
IT_15,7/5/2007,18,23,10,2,724.3,1390,5665
IT_16,7/5/2007,18,23,11,2,0,4441,10673
IT_17,7/5/2007,18,23,12,2,0,5779,11170
IT_20,7/5/2007,20,55,0,0,0.4,2750,3687
IT_22,7/5/2007,20,73,0,0,0.1,1468,2081
IT_23,7/5/2007,20,84,10,0,0.1,3493,5407
IT_24,7/5/2007,20,94,0,2,0,1041,3604
IT_25,7/5/2007,20,104,13,0,3.3,1055,4158
IT_26,7/5/2007,20,114,14,0,1.3,1756,4078
IT_27,7/5/2007,20,124,0,0,2.3,2568,3211
IT_28,7/5/2007,20,131,10,0,0.3,2331,6115
IT_29,7/5/2007,20,137,0,0,1.1,2447,6591
IT_30,7/5/2007,20,138,0,0,2.4,2915,5156
IT_31,7/5/2007,21,141,0,0,1.8,3536,4973
IT_33,7/5/2007,21,156,0,0,29.2,3945,6078
IT_34,7/5/2007,21,162,0,1,2.3,3945,5265
IT_35,7/5/2007,21,165,0,0,9.4,2468,3985
IT_41,7/5/2007,21,205,10,0,0.2,2615,4123
IT_42,7/5/2007,21,211,0,0,0.4,3571,4629
IT_43,7/5/2007,21,220,12,0,36.5,3193,4403
IT_44,7/5/2007,22,227,0,0,3.6,447,724
IT_45,7/6/2007,23,236,0,0,2.6,1320,7873
IT_46,7/6/2007,0,242,0,0,1.3,2499,3680
IT_47,7/6/2007,0,0,0,0,0.7,2368,4231
IT_49,7/6/2007,0,1,0,0,0.4,5230,7878
IT_50,7/6/2007,0,256,0,0,0.3,3755,6552
IT_53,7/6/2007,0,268,0,2,1.7,1592,4907
IT_54,7/6/2007,0,275,0,0,0.1,3144,4133
IT_56,7/6/2007,0,301,1,0,0.1,2449,3335
IT_57,7/6/2007,0,283,1,0,1.1,1911,3545
IT_58,7/6/2007,0,289,0,2,1.2,3480,6816
IT_59,7/6/2007,0,294,0,2,0.2,1953,5938
IT_60,7/6/2007,0,436,0,0,0.4,1902,3384
IT_61,7/6/2007,0,450,0,0,0.7,2354,4806
IT_63,7/6/2007,0,308,0,0,0.8,1755,3203
